"cable_id","segment_number","route_id","duct_id"
"3NES-68-01-SDS-0913",1,"000000001202457009","000000001204498080"
"3NES-68-01-SDS-0913",1,"000000001202145480","000000001202768067"
"3NES-68-01-SDS-0913",1,"000000000200075651","000000000200309092"
"3NES-68-01-SDS-0914",1,"000000001202145481","000000001202768069"
"3NES-68-01-SDS-0914",1,"000000001202145480","000000001202768067"
"3NES-68-01-SDS-0914",1,"000000000200075651","000000000200309092"
"3NES-68-01-SDS-0915",1,"000000004203964180","000000004223863643"
"3NES-68-01-SDS-0910",1,"000000004203964255","000000004223864031"
"3NES-68-01-SDS-0910",1,"000000000200075646","000000000200309040"
"3NES-68-01-SDS-0916",1,"000000004203964215","000000004223863838"
"3NES-68-01-SDS-0908",1,"000000000200076994","000000000200316845"
"3NES-68-01-SDS-0908",1,"000000000200076993","000000000200316842"
"3NES-68-01-SDS-0907",1,"000000000200076969","000000000200316745"
"3NES-68-01-SDS-0907",1,"000000000200076967","000000000200316742"
"3NES-68-01-SDS-0896",1,"000000000200076961","000000000200316728"
"3NES-68-01-SDS-0896",1,"000000000200076959","000000000200316723"
"3NES-68-01-SDS-0653",1,"000000000200077451","000000000200318522"
"3NES-68-01-SDS-0653",1,"000000015006338931","000000015044348147"
"3NES-68-01-SDS-0656",1,"000000000200077448","000000000200318500"
"3NES-68-01-SDS-0656",1,"000000000204281819","000000012503596454"
"3NES-68-01-SDS-0656",1,"000000000200075859","000000000200309932"
"3NES-68-01-SDS-0657",1,"000000015004640575","000000015020689047"
"3NES-68-01-SDS-0695",1,"000000015003319971","000000015014151355"
"3NES-68-01-SDS-0718",1,"000000001202132420","000000001202699402"
"3NES-68-01-SDS-0718",1,"000000000204282733","000000012503606939"
"3NES-68-01-SDS-0724",1,"000000004203961641","000000004223850611"
"3NES-68-01-SDS-0724",1,"000000000200084807","000000000200350548"
"3NES-68-01-SDS-0672",1,"000000015001828091","000000015009395458"
"3NES-68-01-SDS-0672",1,"000000000200084805","000000000200350512"
"3NES-68-01-SDS-0673",1,"000000000200084802","000000000200350482"
"3NES-68-01-SDS-0673",1,"000000000200090963","000000000200376966"
"3NES-68-01-SDS-0676",1,"000000001200020657","000000001200086208"
"3NES-68-01-SDS-0676",1,"000000000200084812","000000000200350566"
"3NES-68-01-SDS-0725",1,"000000004203961606","000000004223850427"
"3NES-68-01-SDS-0725",1,"000000000200084806","000000000200350514"
"3NES-68-01-SDS-0725",1,"000000000200084807","000000000200350548"
"3NES-68-01-SDS-0674",1,"000000001202110691","000000001202593589"
"3NES-68-01-SDS-0674",1,"000000000200084789","000000000200350421"
"3NES-68-01-SDS-0674",1,"000000000200084791","000000000200350426"
"3NES-68-01-SDS-0768",1,"000000004203961131","000000004223847979"
"3NES-68-01-SDS-0748",1,"000000000200088426","000000000200364355"
"3NES-68-01-HDL-0096",1,"000000001202229602","000000001203217406"
"3NES-68-01-SDS-0801",1,"000000001202229608","000000001203217444"
"3NES-68-01-SDS-0801",1,"000000001202229613","000000001203217457"
"3NES-68-01-SDS-0802",1,"000000001202229612","000000001203217453"
"3NES-68-01-SDS-0802",1,"000000001202229613","000000001203217457"
"3NES-68-01-SDS-0803",1,"000000001202229610","000000001203217448"
"3NES-68-01-SDS-0803",1,"000000001202229613","000000001203217457"
"3NES-68-01-SDS-0804",1,"000000001202229611","000000001203217450"
"3NES-68-01-SDS-0804",1,"000000001202229613","000000001203217457"
"3NES-68-01-SDS-0266",1,"000000004203963200","000000004223858651"
"3NES-68-01-SDS-0266",1,"000000000200090144","000000000200372558"
"3NES-68-01-SDS-0266",1,"000000000200090116","000000000200372461"
"3NES-68-01-SDS-0256",1,"000000000200089995","000000000200371976"
"3NES-68-01-SDS-0251",1,"000000000200089993","000000000200371968"
"3NES-68-01-SDS-0252",1,"000000000200089994","000000000200371972"
"3NES-68-01-SDS-0289",1,"000000000200089987","000000000200371951"
"3NES-68-01-SDS-0289",1,"000000000200090007","000000000200372003"
"3NES-68-01-SDS-0289",1,"000000000200090002","000000000200371994"
"3NES-68-01-SDS-0289",1,"000000000204282595","000000012503605738"
"3NES-68-01-SDS-0290",1,"000000000200089990","000000000200371959"
"3NES-68-01-SDS-0290",1,"000000000200090008","000000000200372007"
"3NES-68-01-SDS-0290",1,"000000000200090007","000000000200372003"
"3NES-68-01-SDS-0290",1,"000000000200090002","000000000200371994"
"3NES-68-01-SDS-0290",1,"000000000204282595","000000012503605738"
"3NES-68-01-SDS-0291",1,"000000000200089991","000000000200371961"
"3NES-68-01-SDS-0291",1,"000000000200090008","000000000200372007"
"3NES-68-01-SDS-0291",1,"000000000200090007","000000000200372003"
"3NES-68-01-SDS-0291",1,"000000000200090002","000000000200371994"
"3NES-68-01-SDS-0291",1,"000000000204282595","000000012503605738"
"3NES-68-01-SDS-0253",1,"000000015003371091","000000015014342913"
"3NES-68-01-SDS-0247",1,"000000001200043122","000000001200203275"
"3NES-68-01-SDS-0248",1,"000000015005223973","000000015032788190"
"3NES-68-01-SDS-0248",1,"000000015005223972","000000015032791374"
"3NES-68-01-SDS-0248",1,"000000000200090102","000000000200372422"
"3NES-68-01-SDS-0284",1,"000000000200089959","000000000200371890"
"3NES-68-01-SDS-0284",1,"000000000200089962","000000000200371900"
"3NES-68-01-SDS-0284",1,"000000000200090095","000000000200372407"
"3NES-68-01-SDS-0282",1,"000000000200089958","000000000200371888"
"3NES-68-01-SDS-0282",1,"000000000200090094","000000000200372402"
"3NES-68-01-SDS-0283",1,"000000015000163261","000000015000839119"
"3NES-68-01-SDS-0283",1,"000000000200090094","000000000200372402"
"3NES-68-01-SDS-0292",1,"000000004203963621","000000004223860783"
"3NES-68-01-SDS-0292",1,"000000004203963609","000000004223860732"
"3NES-68-01-SDS-0292",1,"000000000200090099","000000000200372418"
"3NES-68-01-SDS-0293",1,"000000000200089984","000000000200371945"
"3NES-68-01-SDS-0293",1,"000000000200090002","000000000200371994"
"3NES-68-01-SDS-0293",1,"000000000204282595","000000012503605738"
"3NES-68-01-SDS-0249",1,"000000015005223985","000000015032789274"
"3NES-68-01-SDS-0249",1,"000000015005223972","000000015032791374"
"3NES-68-01-SDS-0249",1,"000000000200090102","000000000200372422"
"3NES-68-01-SDS-0296",1,"000000015001114792","000000015005768725"
"3NES-68-01-SDS-0016",1,"000000000200021697","000000000200083660"
"3NES-68-01-SDS-0016",1,"000000000200021695","000000000200083656"
"3NES-68-01-SDS-0016",1,"000000000200021678","000000000200083617"
"3NES-68-01-HDL-0011",1,"000000000200019068","000000000200076105"
"3NES-68-01-SDS-0076",1,"000000015000662425","000000015003292587"
"3NES-68-01-SDS-0077",1,"000000015000662387","000000015003292594"
"3NES-68-01-SDS-0078",1,"000000015000662385","000000015003292598"
"3NES-68-01-SDS-0079",1,"000000015000662366","000000015003292600"
"3NES-68-01-SDS-0233",1,"000000001202272231","000000001203431185"
"3NES-68-01-SDS-0233",1,"000000000200019035","000000000200076038"
"3NES-68-01-SDS-0233",1,"000000001200016536","000000001200064237"
"3NES-68-01-SDS-0215",1,"000000000200018656","000000000200075019"
"3NES-68-01-SDS-0206",1,"000000000200018654","000000000200075012"
"3NES-68-01-SDS-0201",1,"000000000200018654","000000000200075012"
"3NES-68-01-SDS-0737",1,"000000004203961389","000000004223849289"
"3NES-68-01-SDS-0737",1,"000000000200084779","000000000200350379"
"3NES-68-01-SDS-0735",1,"000000000200084596","000000000200349433"
