Cable,Segment,Model Length,Asbuilt Length,Trench,Issue,comments
3NES-68-01-HDL-0045,3NES-68-01-HDL-0045,14.66,14.65,-,No Trench/Strand for segment,no trench in Teighteen
15006465108,15006465108,22.35,22.35,-,No Trench/Strand for segment,no trench in Teighteen
15022304265,15022304265,12.96,12.96,-,No Trench/Strand for segment,no trench in Teighteen
15022330227,15022330227,14.34,14.33,-,No Trench/Strand for segment,no trench in Teighteen
15022304725,15022304725,13.01,13,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0122,3NES-68-01-HDL-0122,13.68,13.67,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0213,3NES-68-01-HDL-0213,14.33,19,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0266,3NES-68-01-HDL-0266,30.69,14,-,No Trench/Strand for segment,no trench in Teighteen
212313048,212313048,22.24,21,-,No Trench/Strand for segment,other tech
3NES-68-01-HDL-0067,3NES-68-01-HDL-0067,15.11,15.11,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0117,3NES-68-01-HDL-0117,15.04,15.03,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0027,3NES-68-01-HDL-0027,13.19,12.32,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0242,--,27.04,38.1,Third Party Pit 000000000200349904,"Unable to match cable and trench/strand end points, check the cable and trench/strand and revalidate",end at vsp
3NES-68-01-HDL-0174,3NES-68-01-HDL-0174,7.61,28,-,No Trench/Strand for segment,no trench in Teighteen
15006456792,15006456792,12.32,12.32,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0104,3NES-68-01-HDL-0104,14.81,14.81,-,No Trench/Strand for segment,no trench in Teighteen
15006456503,15006456503,13.02,13.02,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0141,3NES-68-01-HDL-0141,15.11,0,-,No Trench/Strand for segment,zero length
3NES-68-01-HDL-0091,3NES-68-01-HDL-0091,16.47,12.54,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0146,3NES-68-01-HDL-0146,15.45,15.44,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0072,3NES-68-01-HDL-0072,13.99,13.99,-,No Trench/Strand for segment,no trench in Teighteen
15006456303,15006456303,13.04,13.03,-,No Trench/Strand for segment,no trench in Teighteen
3NES-68-01-HDL-0083,3NES-68-01-HDL-0083,14.62,0,-,No Trench/Strand for segment,zero length
15006455700,15006455700,15.82,15.81,-,No Trench/Strand for segment,no trench in Teighteen
15019284060,--,25.8,26,Third Party Pit 000000012503605423,"Unable to match cable and trench/strand end points, check the cable and trench/strand and revalidate",end at vsp
