"id","ref_id","technology","hierarchy","specification","structure_id","owner","remediation","remediation_specification","remediation_desc","full_name","node_code","cascade","forward_attenuator","forward_equaliser","return_attenuator","return_equaliser","ac_voltage","free_tap_ports","signal_level_code","connected_rf_combiner_code","connected_exchange_code","connected_cmts_code","object_status","NBP_flag","asset_transfer"
"000000001202159742","","COAXIAL","CXS","Cable Splice (PS500 P3)","000000000200025579","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","INSERVICE","N","Y"
"3NES-68-01-PBK-0012","","COAXIAL","PBK","RF_POWER_BLOCK","000000000200413449","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PBK-0033","","COAXIAL","PBK","RF_POWER_BLOCK","000000000200025588","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-LET-0002","","COAXIAL","LET","RF_AMP_LE_FM320_39DB","000000000200413163","NBN","","","","WESS WE59-120","WESS WE59","","9","7","6","1",42.760,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PBK-0015","","COAXIAL","PBK","RF_POWER_BLOCK","000000000200413163","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-TAP-0005","","COAXIAL","TAP","RF_TAP_8_WAY_21DB","000000000200413348","NBN","","","","","WESS WE59","","","","","",0.000,0,"L","","","","CONSTRUCTED","N","Y"
"3NES-68-01-TAP-0006","","COAXIAL","TAP","RF_TAP_8_WAY_18DB","000000015001328666","NBN","","","","","WESS WE59","","","","","",0.000,0,"L","","","","CONSTRUCTED","N","Y"
"3NES-68-01-NTR-0018","","COAXIAL","NTR","RF_TERMINATOR","000000015001328666","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-ALF-0001","","COAXIAL","ALF","RF_AMP_GNA_7DC4_3P","000000012503602153","NBN","","","","WESS WE59-118","WESS WE59","","4","C1","1","2",42.261,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PBK-0013","","COAXIAL","PBK","RF_POWER_BLOCK","000000012503602153","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-NTR-0046","","COAXIAL","NTR","RF_TERMINATOR","000000000200178751","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-TAP-0018","","COAXIAL","TAP","RF_TAP_2_WAY_11DB","000000001202060876","NBN","","","","","WESS WE59","","","","","",0.000,1,"L","","","","CONSTRUCTED","N","Y"
"3NES-68-01-TAP-0019","","COAXIAL","TAP","RF_TAP_2_WAY_4DB_ST","000000001202060876","NBN","","","","","WESS WE59","","","","","",0.000,0,"M","","","","CONSTRUCTED","N","Y"
"3NES-68-01-CUL-0001","","COAXIAL","CUL","RF_COUPLER_2WAY_12DB","000000012503608182","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PBK-0036","","COAXIAL","PBK","RF_POWER_BLOCK","000000012503605235","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
